iter	Passed	Remaining
164	377	1909
165	378	1901
166	380	1895
167	381	1889
168	382	1881
169	384	1875
170	385	1870
171	387	1863
172	388	1856
173	389	1849
174	390	1842
175	397	1860
176	399	1856
177	400	1848
178	401	1841
179	402	1833
180	403	1826
181	404	1819
182	406	1813
183	407	1806
184	408	1799
185	409	1792
186	410	1786
187	412	1781
188	413	1773
189	414	1766
190	415	1759
191	416	1752
192	417	1746
193	418	1740
194	420	1734
195	421	1727
196	422	1721
197	423	1714
198	425	1711
199	426	1705
200	427	1699
201	428	1693
202	429	1687
203	431	1682
204	432	1676
205	433	1670
206	434	1664
207	435	1658
208	436	1653
209	438	1648
210	439	1643
211	441	1639
212	442	1634
213	444	1631
214	445	1626
215	446	1620
216	447	1615
217	448	1610
218	450	1606
219	451	1601
220	452	1595
221	454	1591
222	455	1587
223	457	1585
224	458	1580
225	460	1575
226	461	1570
227	462	1565
228	463	1561
229	464	1556
230	466	1551
231	467	1546
232	468	1540
233	469	1537
234	470	1532
235	471	1527
236	473	1523
237	474	1517
238	475	1514
239	476	1509
240	477	1505
241	478	1499
242	479	1494
243	480	1489
244	482	1485
245	483	1481
246	484	1477
247	485	1472
248	486	1467
249	487	1462
250	488	1458
251	489	1454
252	490	1449
253	491	1444
254	493	1440
255	494	1436
256	495	1432
257	496	1428
258	498	1424
259	499	1421
260	500	1418
261	502	1414
262	503	1410
263	504	1405
264	505	1401
265	506	1398
266	508	1394
267	509	1390
268	510	1386
269	511	1382
270	513	1380
271	514	1377
272	515	1373
273	516	1369
274	518	1365
275	519	1362
276	520	1359
277	522	1356
278	524	1354
279	525	1352
280	527	1350
281	529	1348
282	531	1346
283	533	1345
284	535	1343
285	537	1341
286	539	1339
287	540	1336
288	542	1334
289	544	1333
290	546	1331
291	547	1328
292	549	1325
293	550	1322
294	552	1319
295	553	1316
296	555	1313
297	556	1310
298	558	1309
299	559	1306
300	561	1303
301	563	1301
302	564	1299
303	566	1296
304	568	1294
305	571	1295
306	572	1293
307	574	1291
308	576	1289
309	578	1287
310	579	1284
311	581	1282
312	584	1281
313	585	1279
314	586	1276
315	588	1273
316	590	1271
317	591	1267
318	592	1264
319	593	1260
320	594	1257
321	596	1255
322	597	1251
323	598	1248
324	599	1245
325	601	1242
326	602	1240
327	603	1237
328	605	1234
329	606	1230
330	607	1228
331	609	1225
332	610	1222
333	611	1219
334	612	1216
335	614	1214
336	616	1212
337	617	1209
338	618	1205
339	619	1202
340	621	1201
341	622	1197
342	623	1195
343	624	1191
344	626	1189
345	627	1186
346	628	1183
347	630	1180
348	631	1177
349	632	1174
350	633	1171
351	634	1168
352	635	1165
353	637	1162
354	638	1160
355	640	1158
356	641	1155
357	642	1152
358	643	1148
359	644	1146
360	645	1143
361	647	1140
362	648	1138
363	649	1134
364	650	1131
365	652	1129
366	653	1126
367	654	1124
368	655	1121
369	656	1118
370	658	1116
371	659	1113
372	660	1111
373	662	1108
374	663	1105
375	664	1103
376	666	1100
377	667	1098
378	668	1095
379	669	1092
380	671	1090
381	672	1088
382	673	1085
383	674	1082
384	676	1079
385	677	1077
386	678	1075
387	680	1072
388	681	1069
389	682	1067
390	683	1064
391	684	1062
392	686	1059
393	687	1057
394	688	1054
395	689	1051
396	690	1049
397	692	1046
398	693	1044
399	695	1043
400	697	1041
401	698	1039
402	700	1037
403	701	1035
404	703	1032
405	704	1030
406	705	1027
407	706	1024
408	707	1022
409	709	1021
410	710	1018
411	712	1016
412	713	1013
413	715	1012
414	716	1010
415	717	1007
416	719	1005
417	720	1003
418	722	1002
419	724	999
420	725	997
421	727	995
422	728	994
423	729	991
424	730	988
425	731	986
426	733	983
427	734	981
428	735	979
429	736	976
430	738	974
431	739	972
432	741	970
433	742	968
434	743	965
435	744	963
436	746	961
437	747	959
438	748	956
439	749	953
440	750	951
441	752	950
442	753	947
443	754	945
444	755	942
445	756	939
446	757	937
447	759	935
448	760	933
449	761	930
450	762	928
451	763	925
452	764	923
453	766	921
454	767	919
455	768	916
456	769	914
457	770	911
458	771	909
459	772	907
460	773	904
461	774	902
462	775	899
463	777	897
464	778	895
465	779	893
466	780	890
467	781	888
468	782	885
469	783	883
470	784	881
471	785	878
472	786	876
473	787	873
474	788	871
475	789	869
476	790	866
477	791	864
478	792	862
479	793	859
480	794	857
481	795	854
482	796	852
483	797	850
484	798	847
485	799	845
486	800	843
487	801	840
488	802	838
489	803	836
490	804	834
491	805	831
492	806	829
493	807	826
494	808	824
495	809	822
496	810	820
497	811	818
498	812	816
499	813	813
500	814	811
501	816	809
502	817	807
503	818	805
504	819	802
505	820	800
506	821	798
507	822	796
508	823	794
509	824	792
510	825	790
511	826	788
512	827	785
513	829	784
514	830	781
515	831	779
516	832	777
517	833	775
518	834	773
519	835	771
520	836	769
521	837	767
522	838	764
523	839	762
524	841	761
525	842	758
526	843	756
527	844	754
528	845	752
529	846	750
530	847	748
531	848	746
532	849	744
533	850	742
534	851	740
535	852	738
536	854	736
537	855	734
538	856	732
539	857	730
540	858	728
541	859	726
542	860	724
543	861	722
544	862	720
545	863	718
546	865	716
547	866	714
548	867	712
549	868	710
550	869	708
551	870	706
552	872	704
553	873	703
554	874	701
555	875	699
556	876	697
557	877	695
558	878	693
559	880	691
560	881	689
561	882	687
562	883	685
563	884	683
564	886	682
565	887	680
566	888	678
567	889	676
568	890	674
569	891	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	897	660
576	899	659
577	900	657
578	902	656
579	903	654
580	904	652
581	906	650
582	907	649
583	908	647
584	909	645
585	910	643
586	912	641
587	913	639
588	914	638
589	916	636
590	918	635
591	920	634
592	922	633
593	925	632
594	928	631
595	929	630
596	931	629
597	934	627
598	935	626
599	937	625
600	939	623
601	941	622
602	943	621
603	945	620
604	947	618
605	949	617
606	950	615
607	952	613
608	953	612
609	954	610
610	956	609
611	957	607
612	959	605
613	960	603
614	961	601
615	962	600
616	963	598
617	964	596
618	965	594
619	966	592
620	967	590
621	968	588
622	969	586
623	970	584
624	971	583
625	972	581
626	973	579
627	975	577
628	976	575
629	977	574
630	978	572
631	979	570
632	981	568
633	982	567
634	983	565
635	984	563
636	985	561
637	986	559
638	987	557
639	988	556
640	989	554
641	990	552
642	991	550
643	992	548
644	993	546
645	994	545
646	995	543
647	996	541
648	997	539
649	998	537
650	999	535
651	1000	534
652	1002	532
653	1003	530
654	1004	529
655	1005	527
656	1006	525
657	1007	523
658	1008	522
659	1009	520
660	1010	518
661	1011	516
662	1013	514
663	1014	513
664	1015	511
665	1016	509
666	1017	508
667	1018	506
668	1019	504
669	1020	502
670	1021	501
671	1023	499
672	1024	497
673	1025	495
674	1026	494
675	1027	492
676	1029	490
677	1030	489
678	1031	487
679	1032	485
680	1033	484
681	1034	482
682	1036	480
683	1036	479
684	1037	477
685	1039	475
686	1040	473
687	1041	472
688	1042	470
689	1043	468
690	1044	466
691	1045	465
692	1046	463
693	1047	462
694	1048	460
695	1049	458
696	1050	456
697	1052	455
698	1053	453
699	1054	451
700	1055	450
701	1056	448
702	1058	447
703	1059	445
704	1060	443
705	1061	442
706	1063	440
707	1064	438
708	1066	437
709	1067	436
710	1068	434
711	1069	432
712	1071	431
713	1072	429
714	1073	427
715	1074	426
716	1075	424
717	1076	422
718	1077	421
719	1078	419
720	1079	417
721	1080	416
722	1081	414
723	1083	412
724	1084	411
725	1085	409
726	1086	408
727	1087	406
728	1088	404
729	1090	403
730	1091	401
731	1093	400
732	1094	398
733	1095	396
734	1096	395
735	1097	393
736	1098	392
737	1100	390
738	1101	388
739	1102	387
740	1103	385
741	1104	384
742	1105	382
743	1106	380
744	1107	379
745	1108	377
746	1109	375
747	1110	374
748	1111	372
749	1112	370
750	1113	369
751	1114	367
752	1116	366
753	1117	364
754	1118	362
755	1119	361
756	1120	359
757	1121	358
758	1122	356
759	1123	354
760	1124	353
761	1125	351
762	1127	350
763	1128	348
764	1129	347
765	1130	345
766	1131	343
767	1132	342
768	1133	340
769	1134	338
770	1136	337
771	1137	335
772	1138	334
773	1138	332
774	1139	330
775	1141	329
776	1142	327
777	1143	326
778	1144	324
779	1145	323
780	1146	321
781	1147	319
782	1148	318
783	1149	316
784	1150	315
785	1151	313
786	1152	312
787	1154	310
788	1155	308
789	1156	307
790	1157	305
791	1158	304
792	1159	302
793	1160	301
794	1161	299
795	1162	297
796	1163	296
797	1164	294
798	1165	293
799	1166	291
800	1167	290
801	1168	288
802	1169	287
803	1170	285
804	1172	283
805	1173	282
806	1174	280
807	1175	279
808	1176	277
809	1177	276
810	1178	274
811	1179	273
812	1180	271
813	1181	270
814	1182	268
815	1183	266
816	1184	265
817	1185	263
818	1187	262
819	1188	260
820	1189	259
821	1190	257
822	1190	256
823	1192	254
824	1193	253
825	1194	251
826	1195	250
827	1197	248
828	1198	247
829	1199	245
830	1200	244
831	1201	242
832	1202	241
833	1203	239
834	1204	238
835	1206	236
836	1207	235
837	1208	233
838	1209	232
839	1210	230
840	1212	229
841	1213	227
842	1214	226
843	1216	224
844	1218	223
845	1219	221
846	1220	220
847	1221	218
848	1222	217
849	1223	215
850	1224	214
851	1226	212
852	1227	211
853	1228	209
854	1229	208
855	1230	207
856	1232	205
857	1233	204
858	1234	202
859	1235	201
860	1237	199
861	1239	198
862	1240	196
863	1241	195
864	1242	193
865	1244	192
866	1245	191
867	1246	189
868	1248	188
869	1249	186
870	1250	185
871	1252	183
872	1253	182
873	1254	180
874	1255	179
875	1256	177
876	1258	176
877	1260	175
878	1262	173
879	1263	172
880	1264	170
881	1266	169
882	1267	167
883	1269	166
884	1270	165
885	1271	163
886	1273	162
887	1274	160
888	1276	159
889	1277	157
890	1278	156
891	1280	155
892	1282	153
893	1283	152
894	1284	150
895	1285	149
896	1287	147
897	1289	146
898	1290	144
899	1291	143
900	1292	141
901	1293	140
902	1295	139
903	1296	137
904	1297	136
905	1298	134
906	1299	133
907	1301	131
908	1302	130
909	1303	128
910	1304	127
911	1305	125
912	1306	124
913	1307	123
914	1308	121
915	1309	120
916	1310	118
917	1312	117
918	1313	115
919	1315	114
920	1316	112
921	1317	111
922	1318	110
923	1319	108
924	1320	107
925	1321	105
926	1322	104
927	1323	102
928	1325	101
929	1326	99
930	1327	98
931	1328	96
932	1329	95
933	1330	94
934	1331	92
935	1332	91
936	1333	89
937	1334	88
938	1335	86
939	1336	85
940	1337	83
941	1339	82
942	1340	80
943	1340	79
944	1341	78
945	1342	76
946	1344	75
947	1345	73
948	1346	72
949	1347	70
950	1348	69
951	1349	68
952	1350	66
953	1352	65
954	1353	63
955	1353	62
956	1354	60
957	1355	59
958	1357	58
959	1358	56
960	1359	55
961	1360	53
962	1361	52
963	1362	50
964	1363	49
965	1364	48
966	1365	46
967	1366	45
968	1367	43
969	1368	42
970	1369	40
971	1370	39
972	1371	38
973	1372	36
974	1373	35
975	1374	33
976	1375	32
977	1376	30
978	1377	29
979	1378	28
980	1379	26
981	1380	25
982	1381	23
983	1383	22
984	1384	21
985	1385	19
986	1386	18
987	1387	16
988	1388	15
989	1389	14
990	1390	12
991	1391	11
992	1392	9
993	1393	8
994	1394	7
995	1395	5
996	1396	4
997	1397	2
998	1398	1
999	1399	0
